subject_id,condition,n_windows,dom_freq,whole_phase_rad,whole_plv,mean_phase_rad,within_R,within_p
2,VIZ,19,0.08,3.091033501826116,0.13175221553117525,2.2140155299210798,0.31855271269460894,0.14570524000833998
3,VIZ,20,0.08,1.2283253575182957,0.1035606489820597,0.863464158566724,0.3930926785485719,0.04350366496576128
4,VIZ,19,0.15333333333333335,2.345797513304941,0.1528598361768509,2.217898617300809,0.6172914939925008,0.0003925332678672233
5,VIZ,21,0.11,-0.32397459441650334,0.1980828466440614,-0.1431603841543505,0.6219967065215741,0.0001440578896322963
6,VIZ,18,0.10961836964084998,2.0690437843484366,0.1433965926723017,1.0296443548798206,0.134121740745354,0.7287699891721582
2,AUD,20,0.07333333333333333,0.629617050247095,0.2329422176087359,0.21890545120259472,0.8079098818999695,1.4191125220061819e-07
3,AUD,21,0.060000000000000005,1.2587558095931808,0.5087250195439317,1.0802676589407816,0.38629393249027055,0.04165789269569603
4,AUD,17,0.08463509380940573,1.9007777727517396,0.12807399501807432,1.800739369765839,0.31644458399537445,0.1836499550776433
5,AUD,20,0.12000000000000001,-0.4155515281728337,0.29137955965829604,-0.4124086605521155,0.7135585514545879,9.478962783592859e-06
6,AUD,24,0.05666666666666667,-2.5275716519989637,0.3838601730713646,0.33016230453469514,0.8015542204071763,7.896236464762128e-09
2,MULTI,17,0.10712453767446883,-0.9466924273513211,0.293903579054738,-0.5658871126323076,0.7267991833973119,3.6662560090146614e-05
3,MULTI,21,0.08333333333333334,0.4575055907943688,0.04393300871867204,-2.3456524875464098,0.0372622512993339,0.971912666457749
4,MULTI,18,0.1296237074938706,-1.537192398873374,0.1385027809949801,-2.695547994146411,0.4878608158459536,0.011866389134079433
5,MULTI,21,0.08,1.2616108047841852,0.0982927055573587,-0.3710355285044963,0.3041251200643477,0.1435646438889961
6,MULTI,18,0.14592308813977226,1.1165693908476442,0.13513660858877677,1.4886804980451485,0.6045535579151343,0.0008435337914429986
