subject_id,condition,xcorr_peak_r,xcorr_lag_s,coh_band_avg,coh_peak,plv,plv_lag_s,wpli,mi
2,VIZ,0.20333929100126902,0.6860608552631579,0.1312955725965716,0.44154325372865927,0.13175221553117525,6.149415763478467,0.011044051801990341,1.4876023505413842
2,AUD,0.16858595854794306,3.181640625,0.12888856538279816,0.31136297433651966,0.2329422176087359,1.3664545336604104,0.2288752960968704,1.6458132920208852
2,MULTI,0.21115908434131714,4.596966911764706,0.10157909012264268,0.35092630373041683,0.293903579054738,-1.4065010936942173,0.3418994179047767,1.5092918980393506
3,VIZ,0.12483512649248167,-2.8404296875,0.10656649476202319,0.35227566255215353,0.1035606489820597,2.443675654676955,0.1520854754191481,1.1827004269186085
3,AUD,0.07039677705367549,-1.7514880952380953,0.09926796061052597,0.4314936483221647,0.5087250195439317,3.338953487373256,0.71558055997832,1.2349225840353855
3,MULTI,0.07920176892849803,-3.199404761904762,0.20659692767596893,0.6868534527715073,0.04393300871867204,0.8737713152052202,0.03079435457161341,1.0934560580027837
4,VIZ,0.06399789229040476,-2.905838815789474,0.12904379708665437,0.3450905524900517,0.1528598361768509,2.4348604547945043,0.15005338473343544,0.6956591902994678
4,AUD,0.05915819394471762,0.8455882352941176,0.11404466290644077,0.3859258959047942,0.12807399501807432,3.5743822643346923,0.18255542174329756,0.9025648258620489
4,MULTI,0.07564689371015332,1.7189670138888888,0.07374566620475811,0.30804075844222945,0.1385027809949801,-1.8873998707030855,0.21388889864409025,0.9062239803076375
5,VIZ,0.04952011948415738,0.7265625,0.1489611723991656,0.5210481780328963,0.1980828466440614,-0.4687468921598045,0.11587337826629261,0.7607623868409945
5,AUD,0.07355377779307293,1.3990234375,0.09958923208493954,0.3040877611084596,0.29137955965829604,-0.5511423318174788,0.2103383219149814,0.9025278557036138
5,MULTI,0.09422751011858942,2.8430059523809526,0.1049708410652587,0.2578238331945083,0.0982927055573587,2.509894947994341,0.1364426900128379,0.8215839624790879
6,VIZ,0.1400198183924142,2.207248263888889,0.13722461628262808,0.5325858824652461,0.1433965926723017,3.0040452784648974,0.20043989867550335,1.1203293026451853
6,AUD,0.05819844703139022,-1.822265625,0.09022937268775454,0.2713409971825116,0.3838601730713646,-7.098979807669111,0.3566221301802815,0.8299470432347027
6,MULTI,0.0796321456265144,1.2003038194444444,0.18785741367267275,0.44591772311165284,0.13513660858877677,1.2178164547086077,0.17319805258123275,0.989792979754105
