subject_id,condition,channel,band,lowcut,highcut,correlation_direct,pvalue_direct,correlation_max_lagged,optimal_lag_ms,optimal_lag_samples
2,VIZ,EEG-ch1,delta,0.5,4,0.0070297885527568745,0.0485214670242826,-0.04670641309458987,-246.09375,-63
2,VIZ,EEG-ch2,delta,0.5,4,0.015472934180680742,1.4094576570351568e-05,-0.034881046126946626,-246.09375,-63
2,VIZ,EEG-ch3,delta,0.5,4,0.04497454229759658,1.4901271935645894e-36,0.053736359303399296,-58.59375,-15
2,VIZ,EEG-ch4,delta,0.5,4,0.007982249965190515,0.02508635560247349,-0.04435475427190123,-246.09375,-63
2,VIZ,EEG-ch5,delta,0.5,4,0.026519817816787708,9.806300703449303e-14,-0.030917183796174856,-500.0,-128
2,VIZ,EEG-ch6,delta,0.5,4,0.01615716765696637,5.775841413108816e-06,-0.05152330829366981,-246.09375,-63
2,VIZ,EEG-ch7,delta,0.5,4,0.004285270288770404,0.2291435502524653,-0.02285635208279492,-218.75,-56
2,VIZ,EEG-ch8,delta,0.5,4,0.035788011824160776,9.538206183184806e-24,-0.058414539298330154,500.0,128
2,VIZ,EEG-ch9,delta,0.5,4,0.007461484853707763,0.03626683289672977,0.035738646512048215,-402.34375,-103
2,VIZ,EEG-ch10,delta,0.5,4,0.005721020879396169,0.1083869072315845,-0.021679154530675503,-500.0,-128
2,VIZ,EEG-ch11,delta,0.5,4,0.03505453221515336,7.55068257947509e-23,-0.03893104734834635,-277.34375,-71
2,VIZ,EEG-ch12,delta,0.5,4,0.050788730075187694,3.7806473656076036e-46,-0.05642957751798022,500.0,128
2,VIZ,EEG-ch14,delta,0.5,4,0.04441618714579354,1.0809876632071096e-35,0.05273835126287195,-62.5,-16
2,VIZ,EEG-ch15,delta,0.5,4,0.029112051155873238,3.049356119191428e-16,-0.037419105757030495,-246.09375,-63
2,VIZ,EEG-ch16,delta,0.5,4,0.033541377797034436,4.7189315680716405e-21,0.03534637112374322,-46.875,-12
2,VIZ,EEG-ch17,delta,0.5,4,-0.01342783544499159,0.00016430863853358405,0.05316480081706334,500.0,128
2,VIZ,EEG-ch20,delta,0.5,4,0.034626034586582914,2.479911659418969e-22,0.08585290173268602,-97.65625,-25
2,VIZ,EEG-ch21,delta,0.5,4,0.05902595022412352,9.930695036237683e-62,-0.07585372792818688,433.59375,111
2,VIZ,EEG-ch22,delta,0.5,4,0.048312137525841195,6.404442948520355e-42,0.05344177336744728,-62.5,-16
2,VIZ,EEG-ch24,delta,0.5,4,0.005310265794803943,0.13616788686139183,-0.054856466547707816,417.96875,107
2,VIZ,EEG-ch25,delta,0.5,4,0.039279081736099196,2.8307430258477384e-28,-0.0721447973229405,472.65625,121
2,VIZ,EEG-ch26,delta,0.5,4,0.05437755101469995,1.1913454288528019e-52,-0.06283193886010081,496.09375,127
2,VIZ,EEG-ch27,delta,0.5,4,0.054759911504463944,2.2765420177174436e-53,-0.06430417795657785,500.0,128
2,VIZ,EEG-ch29,delta,0.5,4,0.053442256482175224,6.501799894325945e-51,-0.0859631269584168,390.625,100
2,VIZ,EEG-ch30,delta,0.5,4,0.04010739579263338,2.0735204459168545e-29,-0.09881842278346864,378.90625,97
2,VIZ,EEG-ch31,delta,0.5,4,0.05062813786963492,7.213774884989665e-46,-0.06896567007328916,417.96875,107
2,VIZ,EEG-ch32,delta,0.5,4,0.0449498424003785,1.627492101226648e-36,-0.08898373883454706,390.625,100
2,VIZ,EEG-ch1,theta,4.0,8,0.053207720339286266,1.7534497496998697e-50,0.08791791829128714,-457.03125,-117
2,VIZ,EEG-ch2,theta,4.0,8,0.049597942383813404,4.336567503046953e-44,0.08526965835693626,-457.03125,-117
2,VIZ,EEG-ch3,theta,4.0,8,0.05082765837659013,3.2315811961284504e-46,0.07598312009715816,-453.125,-116
2,VIZ,EEG-ch4,theta,4.0,8,0.060452226958960645,1.1537680627706375e-64,0.08969221940326996,-457.03125,-117
2,VIZ,EEG-ch5,theta,4.0,8,0.03657799751679213,9.80074247908007e-25,0.04958931875684238,-23.4375,-6
