subject_id,condition,envelope,xcorr_peak_r,coh_band_avg,plv,wpli,mi
2,VIZ,env_broad,0.2326602424439516,0.13261676360192662,0.15320940224102866,0.027658204067255554,0.10714053867876405
2,VIZ,env_swell_0p2,0.2327993017477191,0.1312955725965716,0.131836268297783,0.010947247342053948,1.4875657281174979
2,VIZ,env_swell_0p1,0.1341552815041128,0.07613145420436873,0.042208323826854584,0.03576166329228595,0.9640416070506097
2,VIZ,env_hrv_lf,0.1687999569291089,0.12408581350030165,0.13278959747676006,0.2125025160106484,0.9572024833244317
2,VIZ,env_hrv_hf,0.14024576107098807,0.08827480280773346,0.15245502334871708,0.21314797700474863,0.7366139655345227
2,VIZ,env_splash_1_5,0.09839417766213433,0.10807489854480987,0.14564514979993523,0.23082345969949014,0.1699267353459284
2,VIZ,env_delta,0.11428508830115454,0.10866306366449514,0.07367087365594749,0.023168773217375413,0.22541631508949944
2,VIZ,env_theta,0.10755642714689984,0.11191163625273169,0.22562637651080805,0.3528577528319066,0.07693362770487155
2,VIZ,env_alpha,0.11343933482689353,0.10212393756725557,0.3802025159473788,0.40170946409620817,0.04129837491342858
2,VIZ,env_beta_low,0.10402022080038772,0.10729371426028278,0.06116489335950451,0.054711763318411634,0.039637963649265195
2,VIZ,env_beta_high,0.10437611368951127,0.09408966423323953,0.0399897256401768,0.04214759480945279,0.0277710771922397
2,VIZ,env_gamma1,0.10301897194382449,0.1054661779639318,0.050728270892115214,0.08162223336295397,0.015182417781931079
2,AUD,env_broad,0.21350843823620677,0.10292814070204284,0.26782856479062767,0.2452956722440677,0.12031003140748986
2,AUD,env_swell_0p2,0.21290815973826685,0.12888856538279816,0.23296165316894957,0.22888032444222636,1.6458392674757185
2,AUD,env_swell_0p1,0.12502150372776707,0.081502334783038,0.17191769014138938,0.24913460331157888,1.15827913631691
2,AUD,env_hrv_lf,0.20601077846907168,0.13013526140683357,0.14685550314083592,0.16752353173329265,1.012174461500802
2,AUD,env_hrv_hf,0.1318276541995003,0.09833965870832653,0.21524755413370253,0.34253859579490015,0.7909903616939964
2,AUD,env_splash_1_5,0.11786592140989283,0.09798172668778224,0.09980106589736634,0.1456176117112217,0.18617370010653556
2,AUD,env_delta,0.12817505229140883,0.10957218270960944,0.15587911515588065,0.22237547853626918,0.28320500461314246
2,AUD,env_theta,0.13118295115879725,0.08296731911490869,0.23235499336998147,0.30788439883696406,0.09555939153175963
2,AUD,env_alpha,0.12211407747300147,0.08912137207065918,0.22841176793254192,0.2985164267071334,0.049752006100676205
2,AUD,env_beta_low,0.1154616108740909,0.10640202569435296,0.26275124112912923,0.3153964770109611,0.05851730827515045
2,AUD,env_beta_high,0.10841654087797092,0.09172058851120436,0.31223594105358643,0.3363620396745677,0.035033153161442954
2,AUD,env_gamma1,0.1063953299399886,0.10338948423835878,0.2702483118948637,0.3433896601634419,0.0292442919090643
2,MULTI,env_broad,0.26813765572992426,0.13943580379028864,0.2988379546506668,0.3735596933930249,0.10762381742070914
2,MULTI,env_swell_0p2,0.2717627344720927,0.10157909012264268,0.29391491233188183,0.34192309374644625,1.5093071131484814
2,MULTI,env_swell_0p1,0.14528823384282646,0.1270937715308836,0.2167264817844994,0.0005555805143644753,0.8394182735686364
2,MULTI,env_hrv_lf,0.18117487447833508,0.123902784821201,0.12482438789280108,0.00014216741068321444,1.0447848747732449
2,MULTI,env_hrv_hf,0.14654412703757527,0.12073077910497475,0.49783528781787695,0.19723328142385194,0.73263348129304
2,MULTI,env_splash_1_5,0.12659686935447342,0.12613364572081306,0.21341685093302581,0.2280704555689293,0.13312293293319488
2,MULTI,env_delta,0.1249510695331046,0.1518305375350222,0.19891684087028708,0.23240121068127922,0.23876412255575818
2,MULTI,env_theta,0.10682509757771746,0.10006954698485397,0.10576861022455612,0.12752340608162832,0.06212597360239691
2,MULTI,env_alpha,0.11730944876472309,0.1302962700921079,0.10842171948536136,0.1446389085198214,0.03288320345984008
2,MULTI,env_beta_low,0.11495210958405581,0.13063691201076638,0.102438736842372,0.09669060865771865,0.03391442408327805
2,MULTI,env_beta_high,0.10303016538499683,0.13176132929096795,0.3309757257353544,0.46656535712436453,0.015897437313572738
